"제목,평점,디테일1,디테일2"
살인광 시대,8.68,코미디,네티즌8.68참여 41명|예매율0.01% 미만
스잔나,8.78,멜로/로맨스,네티즌8.78참여 18명|예매율0.01% 미만
시,8.93,드라마,"네티즌8.93참여 1,911명|예매율0.01% 미만"
시티 라이트,9.44,코미디,네티즌9.44참여 198명|예매율0.01% 미만
식물도감,8.51,멜로/로맨스,네티즌8.51참여 136명|예매율0.01% 미만
썩시드,8.00,코미디,네티즌8.00참여 9명|예매율0.01% 미만
아무도 모른다,8.88,드라마,"네티즌8.88참여 1,964명|예매율0.01% 미만"
안녕하세요,8.93,드라마,네티즌8.93참여 41명|예매율0.01% 미만
에덴: 로스트 인 뮤직,7.78,드라마,네티즌7.78참여 51명|예매율0.01% 미만
에로스,6.74,드라마,네티즌6.74참여 89명|예매율0.01% 미만
열혈남아,7.72,범죄,"네티즌7.72참여 1,420명|예매율0.01% 미만"
오아시스,9.18,드라마,"네티즌9.18참여 1,394명|예매율0.01% 미만"
오차즈케의 맛,7.70,드라마,네티즌7.70참여 10명|예매율0.01% 미만
일대종사,8.01,무협,"네티즌8.01참여 1,454명|예매율0.01% 미만"
지구 최후의 밤,7.48,드라마,네티즌7.48참여 153명|예매율0.01% 미만
질투,7.23,드라마,네티즌7.23참여 61명|예매율0.01% 미만
초록물고기,8.82,드라마,네티즌8.82참여 732명|예매율0.01% 미만
초속5센티미터,8.36,애니메이션,"네티즌8.36참여 4,117명|예매율0.01% 미만"
카페 소사이어티,7.69,코미디,"네티즌7.69참여 1,340명|예매율0.01% 미만"
콜드 워,8.26,드라마,네티즌8.26참여 350명|예매율0.01% 미만
행복한 라짜로,8.66,드라마,네티즌8.66참여 224명|예매율0.01% 미만
허트 로커,8.44,전쟁,"네티즌8.44참여 3,172명|예매율0.01% 미만"
3개의 얼굴들,8.67,드라마,네티즌8.67참여 9명
건축학개론,8.67,멜로/로맨스,"네티즌8.67참여 15,194명"
늑대소년,8.66,멜로/로맨스,"네티즌8.66참여 34,311명"
맹크,7.17,드라마,네티즌7.17참여 83명
미드나이트 스카이,6.92,드라마,네티즌6.92참여 429명
미스 사이공: 25주년 특별 공연,9.20,공연실황,네티즌9.20참여 276명
벌새,8.76,드라마,"네티즌8.76참여 2,916명"
소공녀,8.79,멜로/로맨스,"네티즌8.79참여 2,800명"
스왈로우,7.00,드라마,네티즌7.00참여 2명
아가씨,7.14,스릴러,"네티즌7.14참여 23,651명"
테넷,8.17,액션,"네티즌8.17참여 10,806명"
파수꾼,9.19,드라마,"네티즌9.19참여 4,191명"
프라미싱 영 우먼,8.44,범죄,네티즌8.44참여 59명
